,family,txn_hash,output_index,potential_ransom_wallet_addr,potential_ransom_btc,potential_ransom_usd,unix_ts
0,Locky,55e5217e8ed11ac6f9fdd823ea13f5c2527c7c9b75207215d3f7656203f5db63,1,1AVcbgn3QJGJkDehF5LhcYhp81UZsZ9dWv,0.5,189.14,1455179567
1,Locky,a90614f93db39dd452bfd212fff0bbae542076bd2d0ad58d5e7cfa9737ee4a9a,0,1BtQCZgjL8ysrstULZQaGJ56nSikPa3mMb,1.0,403.01,1455550689
2,Locky,3949cd8f41dcaf24d1d4b3f0fad4b1ad749da3d83b186bd061adf154eafec296,0,1FMBqkio8ryWjtDhK1xvTGNHp4YZq4fcm7,1.0,403.01,1455572795
3,Locky,999b37dda5520e3b8f8bcd1caee5a64a2494b8a9d9c4043982346652fd52266c,1,192Zktbc4cNPhKs9rUavgNJjH6Rf7NXBqh,0.5,201.88,1455617510
4,Locky,cc500a54b6d226bdd27246f76d6d43c8c3154564a5fb6ba2c4e80b757c0addba,0,14buRC3WParn4q8xh5HYnB2MQdVdgKVbU1,0.5,201.88,1455619349
5,Locky,496c905fc9dc91814ae833faf3ede87441e152e20e4545f2d168eca53fc89d44,0,17BQkSoJGnp9kmZPptPDPeaJc4S4NpA8TF,0.5,201.88,1455632302
6,Locky,c8e7eb8fac1fcf42bc27a10063b3b30165fccb8432d1ace1633ed32b2b6c8d97,0,1KKo2c6YaennfXn4GnoAXV5JLZLiLUix35,1.0,403.75,1455633386
7,Locky,70bda91488d2c68b843d95530bf3b86d36e2b62a5331f01032e3b1c1524cb400,15,17fKMzBKcirBzcxgULinmppxZM6X66RkuK,0.5,201.88,1455636335
8,Locky,9c3ec8ae60aab222ea9c7c792ed2315f3223f50358bb0f5d3ab2493fc090e027,12,1Y7XLJvS8XFiZPrQLH8f5D9Nb3tdenEgj,0.5,201.88,1455641395
9,Locky,72eba13d305e648800d8c94cf0d88ed34736d491be7e5e9b322225770092133c,16,1JpcbXxBUMqoL2JL8PGDw2E4W1LxyTMr3D,1.0,403.75,1455641395
10,Locky,4734757ff5d23d8f15372ea8e6980f81de84301a611ab739db71ca443fd46e02,1,182EndVqtHMxGdzM8XCmoX2PTG1aYB2qWJ,0.5,201.88,1455642611
11,Locky,aab9c8fb539aa377c0c48bcee74576f8d1d9047f002d70058e253836d92ccf0b,0,1LDtyZB6Q6Mb6x2xFv2JyLebsjkMjCsPVY,1.0,403.75,1455642687
12,Locky,b12c78d28f89ad6022ffe9a2497f7785b275265572720dbfe7e92738a0df46f3,1,1KehEQk7H5Xcjsn3PeeMehAN8tTry2bzgY,0.5,201.88,1455643908
13,Locky,8e4c4ac70504a38f0f0df307c3e8752c08d789d84b9dd1a77e4023fdd9191364,0,1DuawTDVxu7TtxHGiC9hgXdLTo4r94X3dF,1.0,403.75,1455644220
14,Locky,1f22e2798681c5655fb5bf736e44355a934beb5a90aa2f7037f13b0167c8f714,0,15MhjhXe8ch8ArGwDFyGS1NFLDnRshbhgt,1.0,403.75,1455644220
15,Locky,b15e8c294e2327dbe7f050f2dcee2d2416819fc51dbb5f7b11a773b87d300c3d,0,18fzni89q8QQrf7NsnbfzwmPawUba3j4GA,0.9999,403.71,1455646305
16,Locky,0bbe549490d9a27faee94090426fb0d3904fe0df396ae3e73aa504b044fe338b,0,1Lz3fm1LybCGSHsnvCs5dusTWYvFUuzsvQ,1.0,403.75,1455647363
17,Locky,920238ee363ff290ddd7eb33696d754a180f9e146a711085e5b3f3c27e96dfdd,60,1GHGWQw5pPf1kCeFeUZ8KM8e5gy9PyW1hT,1.0,403.75,1455647826
18,Locky,489d3b9f76d01e2be0a6ba9658affd214e7822345bff256a248580dcf5cf62ec,6,1JU3WguQfMSSQn6emJj3H3WxUdXjNzLp7f,1.0,403.75,1455647826
19,Locky,02bb412f2e15625ac8cebbecae9af08cc6ca05d5858878faf4787a518679e26c,0,1FeqrSzwrNdgqb6UQXstYjr7dmfR5GKZ7W,0.5,201.88,1455649788
