id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,program_ids,dataset,first_seen,last_seen,last_change,n_tx
rwre-1123pjv8jzefqacv4w644pzqjzvway2zca,CryptoWallet,1123pJv8jzeFQaCV4w644pzQJzVWay2zcA,Locky,,,,1123pJv8jzeFQaCV4w644pzQJzVWay2zcA,,,,,ransomwhe.re ransomware addresses,2023-04-20T15:28:17,2025-09-08T02:03:08,2023-04-20T15:28:17,2
rwre-1129tsjktx65e35giuo4ayveyo48twbrgx,CryptoWallet,1129TSjKtx65E35GiUo4AYVeyo48twbrGX,Locky,,,,1129TSjKtx65E35GiUo4AYVeyo48twbrGX,,,,,ransomwhe.re ransomware addresses,2023-04-20T15:28:17,2025-09-08T02:03:08,2023-04-20T15:28:17,2
rwre-112amfatxzhuspvtz1hfpa3zrw3bg276pc,CryptoWallet,112AmFATxzhuSpvtz1hfpa3Zrw3BG276pc,Locky,,,,112AmFATxzhuSpvtz1hfpa3Zrw3BG276pc,,,,,ransomwhe.re ransomware addresses,2023-04-20T15:28:17,2025-09-08T02:03:08,2023-04-20T15:28:17,2
rwre-112bgquxjzdpuqixg8tss7b8er6reetraw,CryptoWallet,112bgquxJZDPuQiXG8tsS7B8ER6rEetrAw,Locky,,,,112bgquxJZDPuQiXG8tsS7B8ER6rEetrAw,,,,,ransomwhe.re ransomware addresses,2023-04-20T15:28:17,2025-09-08T02:03:08,2023-04-20T15:28:17,4
rwre-112gocbgfsnaote6krx828qaockfrad8mp,CryptoWallet,112GocBgFSnaote6krx828qaockFraD8mp,Locky,,,,112GocBgFSnaote6krx828qaockFraD8mp,,,,,ransomwhe.re ransomware addresses,2023-04-20T15:28:17,2025-09-08T02:03:08,2023-04-20T15:28:17,2
rwre-112igisnkkrr2rpgujxhbktelajunyxq8z,CryptoWallet,112igisnkkrR2rPgujxhBkTELajuNYxq8Z,Locky,,,,112igisnkkrR2rPgujxhBkTELajuNYxq8Z,,,,,ransomwhe.re ransomware addresses,2023-04-20T15:28:17,2025-09-08T02:03:08,2023-04-20T15:28:17,2
rwre-112wjygwapzu8gtpr7hlokq8ieh496vkxp,CryptoWallet,112wjYgWapZU8gTPR7hLoKq8iEh496vKxP,Locky,,,,112wjYgWapZU8gTPR7hLoKq8iEh496vKxP,,,,,ransomwhe.re ransomware addresses,2023-04-20T15:28:17,2025-09-08T02:03:08,2023-04-20T15:28:17,2
rwre-112yzpas3va6az6jtkz7iqzeawdvd5dyoj,CryptoWallet,112yZpAs3Va6az6JTKZ7iQZEAWdvD5DYoj,Egregor,,,,112yZpAs3Va6az6JTKZ7iQZEAWdvD5DYoj,,,,,ransomwhe.re ransomware addresses,2023-04-20T15:28:17,2025-09-08T02:03:08,2023-04-20T15:28:17,2
rwre-1131p1hjj7h9ninhrcknwgfifk4ggoe5ef,CryptoWallet,1131P1hjj7h9NinHRCkNwGFifK4gGoe5EF,Locky,,,,1131P1hjj7h9NinHRCkNwGFifK4gGoe5EF,,,,,ransomwhe.re ransomware addresses,2023-04-20T15:28:17,2025-09-08T02:03:08,2023-04-20T15:28:17,2
rwre-1136mfiqbmovwpqwr1okf3d5xmabwvlb5z,CryptoWallet,1136MFiqBmoVWpqWr1okF3D5XMabwVLB5z,Locky,,,,1136MFiqBmoVWpqWr1okF3D5XMabwVLB5z,,,,,ransomwhe.re ransomware addresses,2023-04-20T15:28:17,2025-09-08T02:03:08,2023-04-20T15:28:17,2
